;str_name;STR_ESID;snb_erlaeuterung;STN_LABEL;instance
50304;Jucheggstrasse;10249381;Flurname «Juch», abgeleitet von Juchart, ein früher besonders in der Landwirtschaft gebrauchtes Flächenmass.;Jucheggstrasse;
50305;Nägelihof;10052361;Benannt nach dem Besitzer angrenzender Gebäulichkeiten Heinrich Nägeli, der mit seinem gleichnamigen Sohn 1294 das Stadtzürcher Bürgerrecht erworben hatte.;Nägelihof;
50307;Louis-Conne-Weg;10127019;Louis Conne (1905-2004): Bildhauer und Grafiker. Er lebte über 50 Jahre in seinem Atelier-Wohnhaus am Tobelsteig 5 in Zürich-Affoltern. In Sichtweite zu seinem Atelier befindet sich das Schulhaus Holderbach, wo seine aus einem Wettbewerb ausgewählte Brunnenskulptur der «Bremer Stadtmusikanten» steht. Der nach ihm benannte Weg führt zum Schulhaus.;Louis-Conne-Weg;
50308;Imbisbühlhalde;10006075;Imbiss könnte sich ableiten von «Immi», der mundartlichen Bezeichnung für Bienen. Der schon 1429 erwähnte Flurname «Imbisbühl» würde dann für Bienenhügel stehen. Die Imbisbühlhalde ist der Hang dieses Hügels.;Imbisbühlhalde;
50309;Im Wiesenbeetli;10182280;Frei gewählter Name, anlehnend an den Flurnamen «Bettliacker», welcher wohl einen früheren Acker bezeichnet, der als Garten umgenutzt und in Beete eingeteilt wurde.;Im Wiesenbeetli;
50310;Krautgartengasse;10249062;Gasse im Krautgarten, einem barocken Vorstadtquartier, das zwischen dem oberen Hirschengraben und dem heutigen Heimplatz liegt. Im 18. Jahrhundert bestand das Quartier aus einer Reihe von Wohnhäusern sowie einem Friedhof, der 1611 zur Zeit der Pest angelegt worden war und bis 1848 genutzt wurde. Der Friedhof trug ebenfalls den Namen Krautgarten, was auf die frühere Nutzung des Grundstücks als Gemüsegarten hindeutet. Seit 1955/58 steht auf ihm ein Erweiterungsbau des Kunstmuseums, durch welchen auch die Krautgartengasse berührt wird. Im Volksmund hiess die Gasse übrigens Hundskehre, eine Bezeichnung für enge Gassen oder Kehrplätze, in denen kaum ein Hund umkehren konnte.;Krautgartengasse;
50311;Paul-Trautvetter-Weg;10249425;Paul Trautvetter (1889-1983): Reformierter Pfarrer von Höngg 1918-1954 und Pazifist.;Paul-Trautvetter-Weg;
50312;Schulsteig;10249153;Querstrasse zur Schulstrasse, die vom Zentrum von Oerlikon zum 1874 eingeweihten Schulhaus Halde A führt.;Schulsteig;
50316;Hürstholzweg;10167445;Weg beim schon 1545 erwähnten Hürst, einer nach Büschen oder Sträuchern benannten langen, waldigen Anhöhe.;Hürstholzweg;
50317;Eggpromenade;10249396;Flurname «auf der Egg», d. h die Flur auf der Ecke (Hügelvorsprung).;Eggpromenade;
50318;Bärenbrüggli;10249115;Brücke über den Schanzengraben neben der nach dem Dreissigjährigen Krieg im 17. Jahrhundert errichteten und 1835-1845 wieder abgetragenen Bärenschanze, einem Bollwerk der barocken Stadtbefestigung.;Bärenbrüggli;
50319;Mühlezelgstrasse;10177324;Flurname «Mülizälgli», ein Hinweis auf einst dort gelegene Getreidefelder der 1230 erstmals urkundlich erwähnten ehemaligen Mühle am Albisrieder Dorfbach, Wydlerweg 19.;Mühlezelgstrasse;
50320;Malzstrasse;10007894;Zusammen mit der parallel verlaufenden Hopfenstrasse erinnert die Malzstrasse an die ehemals zweitgrösste Brauerei der Stadt, die Brauerei am Uetliberg AG (1876-1921), Uetlibergstrasse 50, Austrasse, die mit der Brauerei A. Hürlimann fusionierte und deren Betrieb 1923 eingestellt wurde.;Malzstrasse;
50322;Rollengasse;10075934;Namensgebend für die nicht befahrbare Gasse zwischen Schipfe und Strehlgasse war das Eckhaus zur Rolle oder zur Rollenschmitte, Strehlgasse 18. Der Hausname geht wohl auf einen Besitzer im 15. Jahrhundert zurück, einen Schmied mit Namen Schellenberg. Dieser führte eine Schelle oder - wie eine runde Schelle auch genannt wurde - eine Rolle in seinem Wappen und Hauszeichen. Die Rollengasse scheint erst 1865 ihren Namen erhalten zu haben, weil die Häuser zuvor von den Nachbargassen her bezeichnet worden waren.;Rollengasse;
50323;Cyklamenweg;10177326;Blumenname, lateinisch für Cyclamen, d. h. Alpenveilchen, die in den hiesigen Wäldern vorkommen. Der Cyklamenweg hiess vor 1933 Maierisliweg.;Cyklamenweg;
50324;Gladbachstrasse;10004229;Ernst Georg Gladbach (1812-1896): Professor für Baukonstruktionslehre und Baumateriallehre am Eidgenössischen Polytechnikum Zürich 1857-1890, widmete sich dem Studium der Schweizer Holzbauten.;Gladbachstrasse;
50325;Kämbelgasse;10074881;«Kämbel» oder «Kemmel» ist der mittelhochdeutsche Ausdruck für Kamel. Zum Kämbel heisst das Eckhaus zum Münsterhof, Münsterhof 18, wenigstens seit dem Jahr 1455. Von 1487 bis 1798 war es das Zunfthaus der Kleinhändler, die sich nach dem Haus Zunft zum Kämbel nannten.;Kämbelgasse;
50326;Im Bergdörfli;10086041;Zufahrtsstrasse zu der um 1914 von der Baugenossenschaft Wollishofen erbauten Wohnkolonie Bergdörfli auf dem Entlisberg in Wollishofen.;Im Bergdörfli;
50328;Schäppistrasse;10081639;Johann Jakob Schäppi (1819-1908): Politiker und Sekundarlehrer von Horgen und seit 1892 von Oberstrass. Schäppi war einer der Führer der demokratischen Bewegung. Er engagierte sich als Kantons- und Nationalrat für die Verbesserung des Schulwesens und als Mitgründer und Lehrer an der Schweizerischen Fachschule für Damenschneiderei, der späteren Schweizerischen Frauenfachschule, für die berufliche Weiterbildung der Frauen. Er wohnte von 1887 bis zu seinem Tod an der Winterthurerstrasse 5 in Zürich-Oberstrass.;Schäppistrasse;
50330;Farbhofweg;10009747;Im 1836 erbauten «Farbhof», Farbhofstrasse 15, wurde bis 1875 eine Färberei betrieben. Das Gebäude ist 1958 abgetragen worden.;Farbhofweg;
50332;In der Looren;10009132;Der Flurname «Looren» bezeichnet ein steiniges Waldgelände.;In der Looren;
50333;Sihlberg;10058803;Ursprünglich lediglich private Zufahrtsstrasse nach der 1897 von Brauereibesitzer Heinrich Hürlimann errichteten Villa Sihlberg, die zur später errichteten Wohnsiedlung hinter der Villa verlängert wurde.;Sihlberg;
50334;Segantinisteig;10177612;Giovanni Segantini (1858-1899): Kunstmaler aus dem Trentino (damals Österreich), der 1886 aus Italien nach Graubünden übersiedelte und hier alpine Landschaften von ungemeiner Leuchtkraft und hohem symbolistischen Gehalt malte.;Segantinisteig;
50335;Salvatorstrasse;10004557;Benannt nach dem Erlöser, lateinisch Salvator, wegen der in der Nähe befindlichen katholischen Herz-Jesu-Kirche.;Salvatorstrasse;
50336;Zweierstrasse;10057283;"Der Strassenname geht zurück auf den 1478 in dieser Gegend erwähnten Flurnamen «Zwigeren», was «Zweigarten» meinte, nämlich einen Baumgarten zum Zweien oder Pfropfen von Bäumen; der Weg hiess bereits 1783 Zweiergässli. Eine andere Deutung glaubt, der Ort habe ursprünglich «ze wiger» geheissen, somit etwa «beim Weiher» oder einem Wasserloch, von denen es im Gebiet der Sihl einige gab.";Zweierstrasse;
50339;Münsterbrücke;10249182;An Stelle des hölzernen Steges, genannt obere Brücke, liess der Kaufmännische Verein Zürich 1838 die Verbindungsbrücke zwischen Gross- und Fraumünster nach den Plänen von Ingenieur Alois Negrelli errichten. Gebaut wurde diese steinerne Bogenbrücke mit vier Bogenöffnungen unter Leitung der Baumeister Hans Conrad Stadler und Jakob Locher. Von 1882 bis 1901 und von 1910 bis 1920 führten die Kurse des Rösslitrams und der elektrischen Strassenbahn der Stadt Zürich über die Brücke.;Münsterbrücke;
50341;Fernsehstrasse;10081723;Zugang zu den 1970 in Betrieb genommenen Gebäuden des Fernsehstudios im Leutschenbach.;Fernsehstrasse;
50342;Etzelsteig;10114635;Berg am oberen Zürichsee, oberhalb von Pfäffikon im Kanton Schwyz.;Etzelsteig;
50343;Europabrücke;10202929;Name gewählt als Zeichen der Solidarität der Stadt Zürich mit dem Europa-Gedanken.;Europabrücke;
50344;Wilfriedstrasse;10248467;Männlicher Vorname.;Wilfriedstrasse;
50346;Buschbergstrasse;10249382;Flurname: Waldstück mit starkem Unterholz und Gebüschen.;Buschbergstrasse;
50347;Buckhauserstrasse;10139492;Flurname «Bockhuser» (1544), «Bockhüserli» (1600), d. h. Grundstück beim Haus am Buck (Hügel, Bodenerhebung).;Buckhauserstrasse;
50348;Im Rossweidli;10004017;Flurname: Gehege für weidende Pferde.;Im Rossweidli;
50349;Hermetschloostrasse;10009752;Flurname «Hemenslon» oder «Hermenschloer Zelg» (1680), «Hermatsloo» (1730), zusammengesetzt aus einem altdeutschen Personennamen im Genitiv (vielleicht Herimuotes, später verkürzt zu Hermets, Hermetsch) und «Loo», d. h. Waldstück, Gehölz. Möglicherweise geht der Flurname auf einen ehemaligen Grundbesitzer zurück.;Hermetschloostrasse;
50350;Zinnengasse;10054807;Namensgebend war das Haus zur grünen Zinne, Zinnegasse 2. Es gab im Bereich der Wühre mehrere Häuser, die von alters her Dachzinnen oder Dachterrassen trugen oder im 19. Jahrhundert nach Aufstockungen solche erhielten.;Zinnengasse;
50351;Krattenturmstrasse;10006904;Der Krattenturm war der Endpunkt des äusseren Letzigrabens am Geissberg. Er soll im Alten Zürichkrieg zerstört worden sein. Im Wappen der ehemaligen Gemeinde Oberstrass ist der Krattenturm dargestellt, ebenso im Wappen der dortigen Quartierzunft.;Krattenturmstrasse;
50352;Weihersteig;10007020;Strasse zum Hof zum oberen Weiher, der 1935 abgebrochen wurde. Ob sich der Name auf den Waldweiher im Käferberg oder auf einen näher gelegenen, heute trockengelegten Weiher, möglicherweise einen Feuerwehrweiher, bezieht, ist offen.;Weihersteig;
50354;Schreberweg;10144423;Daniel Gottlieb Moritz Schreber (1808-1861): Deutscher Arzt und Professor an der Universität Leipzig. Er war Vorläufer der modernen Naturheilkunde, aber auch wichtiger Exponent einer auf Belohnung und Strafen basierenden, sogenannten Schwarzen Pädagogik. Nach seinem Tode wurde in Leipzig ein kindergerechter Spiel- und Turnplatz, bei dem auch die Gartenarbeit eine grosse Rolle spielte, nach ihm benannt. Aus dieser Anlage stammt der Begriff des Schrebergartens für die in Zürich Familiengärten genannten Pflanzplätze.;Schreberweg;
50356;Lyrenweg;10056003;Flurname «Lirer» (1541), was vermutlich auf ein dort gelegenes Grundstück eines Musikanten (Leierspieler) hinweist. Lirer ist in Albisrieden auch als Familienname belegt.;Lyrenweg;
50357;Hirzenbachstrasse;10004570;Der Hirzenbach heisst im Zürichberg noch Leimbach und fliesst aus der Gegend des Klösterlis in die Glatt. «Hirz» ist eine ältere Bezeichnung für Hirsch.;Hirzenbachstrasse;
50358;Damhirschweg;10202932;Weg in der Nähe des Damhirsch-Geheges zwischen Waidbadstrasse und Obere Waidstrasse.;Damhirschweg;
50360;Meinrad-Lienert-Strasse;10058761;"Meinrad Lienert (1865-1933): Schriftsteller. Rechtsstudium in Heidelberg, Zürich und München. 1891-1896 Notar des Bezirksrats Einsiedeln, 1893-1897 Redaktor des «Einsiedler Anzeigers». 1899-1925 wohnte Meinrad Lienert, abgesehen von einem einjährigen Aufenthalt in Einsiedeln, in Zürich, wo er zuerst «Die Limmat» redigierte und ab 1900 als freier Schriftsteller tätig war.
Lienerts umfangreiches Werk in Hochdeutsch und Mundart umfasst Lyrik, Erzählungen und Romane. Generationen von Kindern kannten ihn als Erzähler der «Schweizer Sagen und Heldengeschichten» (1914). Mit seiner Mundartlyrik im Volkston, wie im dreibändigen «Schwäbelpfyffli» (1913-1920), feierte er seine grössten Erfolge. Meinrad Lienerts Gedichte wurden von rund 100 Komponisten vertont. 1919 Ehrendoktor der Universität Zürich.";Meinrad-Lienert-Strasse;
50361;Rückgasse;10004282;Der Name bezieht sich vielleicht auf die Funktion der Strasse als kurzer, rückwärtiger Erschliessungsweg.;Rückgasse;
50362;Leonhard-Ragaz-Weg;10004342;Leonhard Ragaz (1868-1945): Theologe und Mitbegründer der religiös-sozialen Bewegung. Ragaz war Pfarrer am Heinzenberg 1890-1895, in Chur 1895-1902 und am Basler Münster 1902-1908. 1906 war er an der Gründung der Zeitschrift «Neue Wege» beteiligt, die er von 1921 bis zu seinem Tod als Hauptredaktor betreute. Er hatte damit grossen Einfluss auf die Entstehung der religiös-sozialen Bewegung. Mit seiner Reich-Gottes-Theologie, die stets verbunden war mit politischem Engagement, nahm er die Ansätze der Befreiungstheologie vorweg. Ab 1908 wirkte er als Professor für systematische und praktische Theologie an der Universität Zürich. Er näherte sich 1912 der Arbeiterbewegung an, indem er den Zürcher Generalstreik unterstützte und der Sozialistischen Internationalen das Basler Münster für die Internationale Friedenskonferenz im November 1912 vermittelte. 1921 trat er von seiner Professur zurück und widmete sich der Bildungsarbeit im Zürcher Arbeiterquartier Aussersihl und in der religiös-sozialen Bewegung. Als Präsident der Schweizerischen Zentralstelle für Friedensarbeit war er in der Zwischenkriegszeit einer der Exponenten der Friedensbewegung in der Schweiz. Als die Sozialdemokratische Partei 1935 die militärische Landesverteidigung befürwortete, trat Ragaz aus der Partei aus (Beitritt 1913).;Leonhard-Ragaz-Weg;
50363;Waidmattweg;10167417;Der Name des Weges bezieht sich auf dessen Lage am Rande der Weiden beim Gänziloo.;Waidmattweg;
50364;Badergasse;10006619;Bezeichnung nach der hier befindlichen und ab 1318 erwähnten Badstube, die «zum Fräuli» oder später auch «Krutbad» (mit Heilkräutern bereitetes Bad) genannt wurde. Das Wasser für das Bad wurde vermutlich aus der Limmat geschöpft. Der Name (obere) Badergasse setzte sich in der Mitte des 18. Jahrhunderts durch. Zuvor hiess die Gasse auch Kornhausgasse (nach einem sich hier bis ins 16. Jahrhundert befindlichen Kornhaus) und Badstubengasse.;Badergasse;
50365;Herzogenmühlestrasse;10054620;Strasse zur Mühle an der Glatt in Wallisellen, die um 1429 von einem Heini Herzog betrieben wurde.;Herzogenmühlestrasse;
50366;Klusdörfli;10086014;Flurname «Chlose» (1265). «Klus» geht vermutlich auf lateinisch clausa zurück, was etwas Enges, Abschliessendes oder Eingeschlossenes bezeichnet. Das Klusdörfli befindet sich oberhalb des Klusplatzes in Zürich-Hirslanden. Das Gebiet zwischen der Klus- und der Hegibachstrasse wird auch Obere Klus genannt.;Klusdörfli;
50367;Hambergersteig;10081653;Hans Konrad Hamberger-Huber (1824-1896): Kaufmann und Tabakhändler, wohnhaft an der Seefeldstrasse 237, am unteren Ende des Steiges.;Hambergersteig;
50368;Schmelzbergstrasse;10081423;"Strasse in den Schmelzberg, einem noch um 1850 ausgedehnten Rebberg in Fluntern, der sich durch das ganze Gemeindegebiet hinzog. Der Flurname «Snellisperch», gebildet vielleicht aus einem Personennnamen wie Schnell, wird für diese Gegend schon im Jahr 1225 erwähnt; im Lauf der Zeit wurde daraus der Schmelzberg.";Schmelzbergstrasse;
50370;Peterstobelstrasse;10249434;Strasse beim Peterstobelbach, auch Letzibach, am Zürichberg. Wohl nach einem früheren Anstösser benannt.;Peterstobelstrasse;
50373;Mattackerstrasse;10078893;Flurname: Acker auf gepflügter Wiese.;Mattackerstrasse;
50375;Solisweg;10249192;Benannt nach der Staumauer von Solis in Mittelbünden, erbaut im Auftrag des Elektrizitätswerks der Stadt Zürich (1982 bis 1986).;Solisweg;
50376;Im St. Blasienhof;10006710;Das Benediktinerkloster St. Blasien im Schwarzwald besass in Zürich-Affoltern einen grossen Hof.;Im St. Blasienhof;
50377;Hönggerbergring;10192946;Deutet den Übergang vom umliegenden Gebiet in den ETH-Campusbereich an. Der Hönggerbergring ersetzt im nordwestlichen Teil die bestehende Schafmattstrasse, die nach Realisierung des Hönggerbergrings aufgehoben wird. Der Name Höngg geht auf «Hoinga» (820) zurück und bezeichnet die auf der Höhe wohnenden Leute.;Hönggerbergring;
50378;Talchernstrasse;10004242;Flurname, ersterwähnt 1474, der die mundartlich abgeschliffene Bezeichnung Talchern für Taläcker, also einer Mehrzahl von Äckern im Tal aufgreift.;Talchernstrasse;
50379;Mattensteg;10249292;Eisenfachwerkbrücke, die 1880 im Hinblick auf die Schweizerische Landesausstellung 1883 in Zürich - mit Pavillons auf dem Platzspitz und im Industriequartier - erstellt wurde. Der Name des Stegs erinnert an die Wiesen, die Matten, entlang der Limmat.;Mattensteg;
50380;Verrucanoweg;10249341;Anlehnung an die lokalen geologischen Gegebenheiten in Zürich-Witikon. Verrucano ist roter Ackerstein, der in Witikon als Baumaterial in alten Hausfassaden verwendet wurde.;Verrucanoweg;
50381;Mathysweg;10249289;Eine seit dem 16. Jahrhundert in Albisrieden nachgewiesene Familie. In Wiedikon war dieser Familienname ebenfalls verbreitet.;Mathysweg;
50382;Hegenmatt;10086039;Frei gebildete Bezeichnung für eine Matte (Grasfläche) zwischen Hecken.;Hegenmatt;
50385;Gamperstrasse;10105496;Hans (Joan) Gamper (1877-1930): Mitbegründer und erster Captain des Fussball Clubs Zürich 1898-1903 sowie Gründer und erster Captain des Futbol Club Barcelona 1899-1903 und dessen Präsident 1908-1925.;Gamperstrasse;
50386;Mainaustrasse;10054847;Im Jahr 1874 angelegte Strasse, benannt nach dem 1847 erstellten klassizistischen Mehrfamilienhaus zur Mainau an der Ecke Seefeldstrasse 80, Mainaustrasse 34.;Mainaustrasse;
50387;Friedrich-Glauser-Gasse;10249051;Friedrich Glauser (1896-1938): Schriftsteller. Der literarische Durchbruch gelang ihm mit dem Kriminalroman «Wachtmeister Studer» 1936, zwei Jahre vor seinem Tod. Die meisten seiner zum Teil früher entstandenen Romane wurden erst nach seinem Tod veröffentlicht. Friedrich Glauser hat in den Jahren 1916 und 1917 in Zürich, unter anderem an der Zähringerstrasse 40, gewohnt.;Friedrich-Glauser-Gasse;
50388;Magdalenenstrasse;10004548;Weiblicher Vorname.;Magdalenenstrasse;
50389;Sihlquai-Nordrampe;10249180;Zufahrtsrampe vom Sihlquai auf die Hardbrücke beim Escher-Wyss-Platz.;Sihlquai-Nordrampe;
50390;Roswiesenstrasse;10083880;Wiese bei einer Wassergrube zum Einlegen und Einweichen oder eben «Rössen» von Hanf oder Flachs.;Roswiesenstrasse;
50392;Biberlinsburgweg;10249151;Biberlinsburg: Hügel zwischen Degenried und Elefantenbach, wo keine Spur einer Burg zu finden ist. Die Burgstelle liegt unmittelbar unterhalb der alten Strasse von Zürich zum Greifensee. Die im 19. Jahrhundert noch erkennbaren Mauerzüge auf dem Burgareal sind heute unter der Erde verschwunden. Falls hier nicht die Stammburg der Ritter Biberli stand, handelt es sich möglicherweise um einen vorgelagerten Wachturm der Stadt Zürich.;Biberlinsburgweg;
50393;Im Mittelleimbach;10177311;Durch den alten Dorfkern von Mittelleimbach führende Strasse. Mittelleimbach gehörte zusammen mit Unterleimbach politisch zur Gemeinde Enge und ab 1893 zur Stadt Zürich. Leimbach (bestehend aus Unter- und Mittelleimbach), Wollishofen und Enge bilden zusammen den Stadtkreis 2.;Im Mittelleimbach;
50394;Eyhof;10177322;Flurname «Ey», «Ei», Nebenform von «Au», bedeutet feuchtes Gelände.;Eyhof;
50395;Unterer Selnauweg;10249291;Der Flurname Sellnau geht auf den ursprünglichen Namen Seldenouwe zurück, was im Mittelhochdeutschen die Bedeutung von einer Wohnung oder Herberge, einer Selde, am Wasser, an einer Au, hatte. Auf welches Gebäude sich dieser Name bezieht, ist nicht mehr nachvollziehbar.;Unterer Selnauweg;
50397;Ruhestrasse;10006693;Ein Hinweis auf den ehemaligen, 1908 geschlossenen Friedhof Enge im Giesshübel.;Ruhestrasse;
50398;Nebelbachweg;10249195;Benannt nach der alten Ortsgegend «am Nebelbach» in Zürich-Riesbach, die um 1840 aus drei Wohnhäusern bestand. Namensgebend war der gleichnamige, in Zollikon bei Witellikon entspringende Bach, der bei Tiefenbrunnen in den Zürichsee fliesst. Im 15. Jahrhundert hiess der Bach noch Näppelbach. Ob dieser Name etwas mit Nebel zu tun hat, der aus dem Bachgraben aufsteigt, ist ungewiss. Der Nebelbachweg führt über den Nebelbach.;Nebelbachweg;
50400;Wohllebgasse;10056513;Namengebend war das Haus, das Wohlleb, Wohllebgasse 13, hiess. Dieses wiederum verdankt seinen Namen wohl einem frühen Besitzer oder einer Besitzerin: Wohlleb war ein Familienname in der Stadt Zürich des 14. Jahrhunderts, 1357 gab es das Wohllebin hus. Um 1800 hiess nur der untere Teil der Gasse Wohlleb, der obere Teil wurde nach dem Haus zum Reigel, was den Reihervogel meint, Reigelgasse genannt.;Wohllebgasse;
50401;Rudolf-Brun-Brücke;10249067;Von Architekt Gustav Gull 1913 als Uraniabrücke an Stelle des Oberen Mühlesteges errichtete Brücke, die 1951 zu Ehren von Rudolf Brun in Rudolf-Brun-Brücke umbenannt wurde. Ritter Rudolf Brun (gest. 1360): erster Bürgermeister von Zürich (1336-1360). Als Mitglied des Rats von Zürich, in welchem sich die Adligen einer immer stärker werdenden bürgerlichen Ratsmehrheit gegenüber sahen, verbündete er sich mit den Handwerkern, denen eine politische Organisation verboten war. 1336 wurde mit der Brunschen Zunftrevolution das bürgerlich-kaufmännische Patriziat aus dem Rat eliminiert und eine nach Strassburger Vorbild ausgestaltete Zürcher Zunftverfassung vorgelegt. Eine reale Beteiligung der Zünfte an der städtischen Politik fand allerdings erst einige Jahre nach seinem Tod im Jahre 1373 statt. Unter Brun begann die Stadt Zürich ihren Einfluss entlang der Wasserwege Limmat und Zürichsee auszudehnen. Brun betrieb zudem eine aktive Bündnispolitik und verband sich sowohl mit den schwäbischen Reichsstädten Konstanz, Schaffhausen und Basel, als auch mit den Waldstätten (1351) und dem Herzog von Österreich (1356). Anlässlich der Pestepidemie von 1348/49, welche den Juden angelastet wurde, hat Brun das Pogrom an der jüdischen Einwohnerschaft der Stadt nicht nur nicht verhindert, sondern sich selbst ausgiebig am Eigentum der Opfer bereichert. Bestattet wurde Rudolf Brun 1360 im Chor der Kirche St. Peter. Sein heutiges Grab befindet sich unter der Gedenktafel vor dem Turmaufgang.;Rudolf-Brun-Brücke;
50402;Walchestrasse;10182276;In dieser Gegend stand ursprünglich die Paradiesmühle, die 1658 teilweise umgewandelt wurde in eine Walchi, d.h. eine Tuchwalke, in der mittels Wasserkraft die Wolltücher geschlagen, gestampft und geknetet wurden, um deren Oberfläche durch Verfilzen zu glätten und geschmeidiger zu machen. Diese wurde zu Gunsten des um 1865 eröffneten Schlachthofs abgebrochen. Nachdem Schlachthof 1909 an die Stadtgrenze zu Altstetten verlegt wurde, ist zwischen dem Stampfenbachplatz und dem neuen Walcheplatz diese Verbindungsstrasse errichtet worden.;Walchestrasse;
50403;Olivengasse;10054859;Steinfrucht.;Olivengasse;
50404;Usteribrücke;10249311;Im Zusammenhang mit der von Stadtingenieur Arnold Bürkli geplanten Umgestaltung des Bahnhofsquartiers von 1862-1865 musste der Schanzengraben in die Sihl abgeleitet werden. 1866 wurde die Baufirma Locher & Cie mit dem Bau einer steinernen Brücke unterhalb der Militärstallungen über den Schanzengraben beauftragt. Die Brücke wurde und wird als Teil der Usteristrasse wahrgenommen, welche Johann Martin Usteri gewidmet ist. Johann Martin Usteri (1873-1827): Zürcher Künstler-Dilettant, der gleichermassen als Zeichner, Dichter und Sammler Bedeutung erlangte. Er war erst Textilunternehmer und widmete sich ab 1804 der Kunst und der Politik. Usteri war konservativer Politiker und von 1803-1827 Präsident der Zürcher Künstlergesellschaft sowie ab 1806 Mitglied des kantonalen Erziehungsrates. Er legte den Grundstock der Sammlung des heutigen Kunsthauses an und war ein beliebter Mundartdichter. Sein bekanntester Text ist das Volkslied «Freut Euch des Lebens». Die offizielle Benennung als Usteribrücke von 1893 hat wohl eine gängige Bezeichnung aufgenommen.;Usteribrücke;
50405;Tobeleggstrasse;10004243;Landhaus zum Tobelegg, Limmattalstrasse 81, errichtet 1684 vom Kaufmann Heinrich Escher vom Glas (1626-1710), Bürgermeister von Zürich von 1678-1710.;Tobeleggstrasse;
50406;Johannesgasse;10109007;Johann Heinrich Fierz (1813-1877): Textilindustrieller, Nationalrat und Präsident des von ihm gegründeten Aktienbauvereins. Der Aktienbauverein erstellte im Limmatquartier eine Siedlung von ursprünglich fünf, heute noch vier Zeilen Arbeiterwohnhäuschen. Zum Andenken an den Stifter und Präsidenten dieses Vereins, Johann Heinrich Fierz, wurden die Johannesgasse, die Fierzgasse und die Heinrichstrasse nach ihm benannt.;Johannesgasse;
50407;Pfirsichstrasse;10006913;Fruchtname.;Pfirsichstrasse;
50408;Brünneliacker;10009717;Flurname: Acker bei einer kleinen Quelle.;Brünneliacker;
50409;Liebensteinstrasse;10009728;Eine seit dem 15. Jahrhundert in Albisrieden nachgewiesene, mittlerweile ausgestorbene Familie, ursprünglich Lybenstal.;Liebensteinstrasse;
50411;Geibelstrasse;10105497;Emanuel Geibel (1815-1884): Deutscher Lyriker und Übersetzer aus Lübeck. Seine Lieder wurden u. a. von Wilhelm Baumgartner und Lothar Kempter vertont.;Geibelstrasse;
50412;Loorenkopfstrasse;10118740;Abgeleitet vom Flurnamen «Looren», d. h. steiniges Gelände bei einer Anhöhe. An dieser mitten im Wald am östlichen Ende des Adlisbergs in Zürich-Hottingen gelegenen Stelle befindet sich der 1954 erbaute Loorenkopfturm (Höhe: 33 m).;Loorenkopfstrasse;
50413;Schörliweg;10081707;Ludwig Schörli (gestorben 1581): Zunftmeister zur Schuhmachern und Statthalter, war von 1560-1569 Obervogt zu Schwamendingen.;Schörliweg;
50414;Arbenzstrasse;10109012;Benannt nach dem Anwohner Johann Jakob Arbenz-Näf (1816-1894), Höschgasse 89, Seidenfabrikant und Bürger von Riesbach.;Arbenzstrasse;
50415;Quittenstrasse;10249445;Fruchtname, verwendet wegen ihrer Nähe zur Obsthaldenstrasse.;Quittenstrasse;
50416;Klosbachstrasse;10098554;Strasse in Hottingen, benannt nach der dortigen Ortsgegend beim gleichnamigen Bach, dem Klosbach. Der Klosbachweg wurde 1848 ausgebaut, der Bach 1873 eingedolt. «Klos» geht vermutlich auf lateinisch clausa zurück, das etwas Enges, Abschliessendes oder Eingeschlossenes bezeichnet, hier vielleicht die Herkunft des Baches aus einem engen Tobel am Adlisberg.;Klosbachstrasse;
50417;Lindenzelgweg;10249516;Baumname. Der Name verweist vielleicht auf ein ehemals bei einer Linde gelegenes Flurstück, Feld (Zelge).;Lindenzelgweg;
50418;Untere Zäune;10104192;Seit Mitte des 13. Jahrhundert erwähnt als «under Zün» oder «under nider Zün», so noch im beginnenden 19. Jahrhundert: «hinter den untern Zäunen». Die unteren und oberen Zäune könnten sich auf Palisaden als eine ältere Form der Stadtbefestigung beziehen, vielleicht aber auch auf Weingärten des Grossmünsters, die durch Zäune eingefriedet waren. Noch im 19. Jahrhundert gab es im Bereich der Zäune ausgedehnte Gartenareale.;Untere Zäune;
50419;Paul-Hindemith-Weg;10249421;Paul Hindemith (1895-1963): Komponist, Dirigent, Musikpädagoge und Ordinarius an der Universität Zürich.;Paul-Hindemith-Weg;
50420;Maienburgweg;10003998;Benannt nach dem in unmittelbarer Nähe gelegenen, anstelle der 1897 abgebrannten Karolinenburg erbauten Haus zur Maienburg, Forsterstrasse 40 (früher Freudenbergstrasse 53).;Maienburgweg;
50421;Laurenzgasse;10054832;Männlicher Vorname.;Laurenzgasse;
50422;Im Wyl;10004340;Flurname «Wile» (1367): aus lateinisch villa oder häufiger aus der lateinischen Ableitung villare, die durch deutsche Anfangsbetonung zu wilari, wilere, Wil geworden ist. Bedeutung: Landgut oder Bauerngehöft aus spätrömischer Zeit.;Im Wyl;
50423;Laubfroschweg;10249524;Weg durch die Allmend Brunau. Namenskonzept: Tiere, die in der Region vorkommen oder vorkamen.;Laubfroschweg;
50424;Luckenholzweg;10249057;Flurname «Luckenholz», d. h. Lücke (Durchgang) in einem Zaun oder einer Hecke, die mit Stangen abgesperrt werden konnte.;Luckenholzweg;
