;STR_ESID;SPACY_DE;SPACY_DE_LEMMA;SPACY_DE_ENT;SPACY_FR;SPACY_FR_LEMMA;SPACY_FR_ENT;STN_LABEL_x;DIC_Lebewesen;DIC_Ortschaft;DIC_Berufe;DIC_Gewässer;DIC_Berg;DIC_Siedlung;DIC_Religion;DIC_Natur;wikiQLabel;wikiQ;sex_x;birth;death;placebirth;placedeath;image;classif;qid;instanceLabel;dateBirth;pic;sex_y;instance_x;STN_LABEL_y;STN_LABEL_FINAL;str_name;snb_erlaeuterung;STN_LABEL;instance_y;instance
57688;10049304;Merkur;Merkur;;Merkur;Merkur;ORG;Merkurstrasse;Merk;;;;;;;;;;;;;;;;Lebewesen;Q1150;Q11688446;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mercure4.jpg;male;Religion;Merkurstrasse;Merkur;;;;;Religion
57723;10177021;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
57756;10175948;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
57772;10090358;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
57794;10014450;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
57810;10013797;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
57815;10136395;Drossel;Drossel;;Drossel;Drossel;;Drosselweg;Drossel;;;;;;;;;;;;;;;;Lebewesen;Q26050;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Turdus%20viscivorus%20Brych%20y%20coed.jpg;;Lebewesen;Drosselweg;Drossel;;;;;Lebewesen
57836;10083711;Tillier;Tillier;;Tillier;Tillier;;Tillierstrasse;;;;;;;;;;;;;;;;;Andere;Q1692415;Q5;1792-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/StaatsarchivBern-T.B.Personen-719.jpg;male;Person;Tillierstrasse;Tillier;;;;;Person
57857;10008273;Stämpfli;Stämpfli;;Stämpfli;Stämpfli;;Stämpflistrasse;;;;;;;;;;;;;;;;;Andere;Q662344;Q5;1820-02-23T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20St%C3%A4mpfli%20%281820%E2%80%931879%29%20by%20Carl%20Friedrich%20Irminger%20%281813%E2%80%931863%29%20ZBZ%20%28A%29.jpg;male;Person;Stämpflistrasse;Stämpfli;;;;;Person
57896;10012307;Aubepines;Aubepines;;Aubepines;aubepine;;Chemin des Aubépines;Aubepine;;;;;;;;;;;;;;;;Lebewesen;Q132557;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Common%20hawthorn.jpg;;Lebewesen;Chemin des Aubépines;Aubepines;;;;;Lebewesen
57912;10057818;Herzog;Herzog;;Herzog;Herzog;;Herzogstrasse;;;;;;;;;http://www.wikidata.org/entity/Q17322261;Herzog;männlich;2000-01-01T00:00:00Z;;;;;Person;Q115838;Q5;1819-10-28T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/General%20Hans%20Herzog.jpg;male;Person;Herzogstrasse;Herzog;;;;;Person
57913;10122620;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
57984;10049490;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
57999;10155625;Martin;Martin;;Martin;Martin;;Rue Saint-Martin;;Martin;;;;;;;http://www.wikidata.org/entity/Q3295690;Martin;masculin;http://www.wikidata.org/.well-known/genid/f788a59a0fd7d41c8b761d84fec17c28;0107-01-01T00:00:00Z;http://www.wikidata.org/.well-known/genid/3ebd39ca0c0b73fdb7424bf63f2f24df;;;Religion;Q133704;Q5;0316-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Simone%20Martini%20040.jpg;male;Person;Rue Saint-Martin;Martin;;;;;Person
58000;10005782;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
58053;10037910;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
58076;10107758;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
58111;10185091;Lilien;Lilie;;Lilien;Lilien;;Lilienweg;Lilie;;;;;;;;;;;;;;;;Lebewesen;Q5194627;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Lilium%20michiganense%202.jpg;;Lebewesen;Lilienweg;Lilien;;;;;Lebewesen
58149;10167945;Ramuz;Ramuz;;Ramuz;Ramuz;;Ramuzstrasse;;;;;;;;;;;;;;;;;Andere;Q123635;Q5;1878-09-24T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/CHF200%208%20front%20extract.jpg;male;Person;Ramuzstrasse;Ramuz;;;;;Person
58165;10049488;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
58190;10035093;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
58270;10004026;Wengi;wengi;;Wengi;Wengi;;Wengistrasse;;Wengi;;;;;;;;;;;;;;;Ortschaft;Q1990487;Q5;1485-01-01T00:00:00Z;kein;male;Person;Wengistrasse;Wengi;;;;;Person
58296;10219337;Boehlen;Boehle;;Boehlen;boehlen;;Boehlenstrasse;;;;;;;;;;;;;;;;;Andere;Q1897263;Q5;1911-10-19T00:00:00Z;kein;female;Person;Boehlenstrasse;Boehlen;;;;;Person
58364;10180923;Müslin;Müslin;;Müslin;Müslin;;Müslinweg;;;;;;;;;;;;;;;;;Andere;Q24175475;Q5;1747-11-19T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20David%20M%C3%BCslin%2C%20RP-P-1908-2672.jpg;male;Person;Müslinweg;Müslin;;;;;Person
58393;10180919;Engelberg;Engelberg;;Engelberg;Engelberg;;Engelbergstrasse;;Engelberg;;;berg$;;;;;;;;;;;;Berg;Q64108;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Engelberg.jpg;;Ortschaft;Engelbergstrasse;Engelberg;;;;;Ortschaft
58429;10066250;Canal;Canal;;Canal;Canal;;Rue du Canal;Cana;;;;;canal;;;;;;;;;;;Siedlung;Q12284;Q1428660;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Canal%20du%20midi%20toulouse.jpg;;Gewässer;Rue du Canal;Canal;;;;;Gewässer
58432;10105263;Zwingli;Zwingli;;Zwingli;Zwingli;;Zwinglistrasse;;;;;;;;;;;;;;;;;Andere;Q123034;Q5;1484-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Zwingli%20Hans%20Asper.jpeg;male;Person;Zwinglistrasse;Zwingli;;;;;Person
58509;10040004;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
58525;10046150;Studer;Studer;;Studer;Studer;;Studerstrasse;;;;;;;;;;;;;;;;;Andere;Q118697;Q5;1804-08-05T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gottlieb%20samuel%20studer.jpg;male;Person;Studerstrasse;Studer;;;;;Person
58580;10046159;Libellen;Libelle;;Libellen;Libellen;;Libellenweg;Libelle;;;;;;;;;;;;;;;;Lebewesen;Q25375;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Orthetrum%20cancellatum.jpg;;Lebewesen;Libellenweg;Libellen;;;;;Lebewesen
58595;10137307;Hasel;Hasel;;Hasel;Hasel;LOC;Haselweg;Hase;;;;;;;;;;;;;;;;Lebewesen;Q578307;Q2095;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Corylus%20avellana.jpg;;Andere;Haselweg;Hasel;;;;;Andere
58629;10007937;Steiner;Steiner;;Steiner;Steiner;PER;Steinerstrasse;Stein;Stein;;;;;;;http://www.wikidata.org/entity/Q95373737;Steiner;;;;;;;Lebewesen;Q123514;Q5;1796-03-18T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JakobSteiner.jpg;male;Person;Steinerstrasse;Steiner;;;;;Person
58630;10095312;Fischer;Fischer;;Fischer;Fischer;PER;Fischerweg;;;Fischer;;;;;;http://www.wikidata.org/entity/Q27809859;Fischer;männlich;1928-01-01T00:00:00Z;;;;;Person;Q1419966;Q13417114;9999;kein;;Person;Fischerweg;Fischer;;;;;Person
58655;10000205;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
58661;10240584;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
58674;10009923;Nord;Nord;;Nord;nord;LOC;Rue du Nord;;;;;;;;;;;;;;;;;Andere;Q659;Q23718;9999;http://commons.wikimedia.org/wiki/Special:FilePath/CompassRose16%20white.PNG;;Natur;Rue du Nord;Nord;;;;;Natur
58678;10174149;Von Gunten;Gunten;;Von Gunten;Gunten;PER;Von-Gunten-Strasse;;;;;;;;;;;;;;;;;Person;Q106676598;Q5;1891-01-01T00:00:00Z;kein;male;Person;Von-Gunten-Strasse;Von Gunten;;;;;Person
58690;10013482;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
58697;10220550;Schädelin;Schädelin;;Schädelin;Schädelin;;Schädelinstrasse;;;;;;;;;;;;;;;;;Andere;Q117858;Q5;1918-09-17T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Klaus%20Sch%C3%A4delin%20Staatsarchiv%20Bern%20FN%20Jost%20N%207509.jpg;male;Person;Schädelinstrasse;Schädelin;;;;;Person
58699;10061239;Gotthelf;Gotthelf;;Gotthelf;Gotthelf;;Gotthelfstrasse;;;;;;;;;;;;;;;;;Andere;Q122358;Q5;1797-10-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JeremiasGotthelf.jpg;male;Person;Gotthelfstrasse;Gotthelf;;;;;Person
58700;10240589;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
58732;10175955;Hauenstein;Hauenstein;LOC;Hauenstein;Hauenstein;;Hauensteinweg;;Hauenstein;;;;;;;;;;;;;;;Ortschaft;Q353948;Q728937;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Ruemlingen-Viadukt.jpg;;Siedlung;Hauensteinweg;Hauenstein;;;;;Siedlung
58823;10178717;Erlach;Erlach;;Erlach;Erlach;;Erlachstrasse;;Erlach;;;;;;;;;;;;;;;Ortschaft;Q123886;Q5;1299-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Erlach-Denkmal.JPG;male;Person;Erlachstrasse;Erlach;;;;;Person
58866;10178421;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
58890;10012996;Amsel;Amsel;;Amsel;Amsel;;Amselweg;Amsel;;;;;;;;;;;;;;;;Lebewesen;Q25234;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Amselm%C3%A4nnchen%20der%20Unterart%20T.%20m.%20azorensis%20auf%20Terceira.jpg;;Lebewesen;Amselweg;Amsel;;;;;Lebewesen
58898;10245055;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
58904;10005786;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
58915;10085088;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
58952;10006282;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
58956;10007113;Tell;Tell;;Tell;Tell;;Tellweg;;;;;;;;;;;;;;;;;Andere;Q30908;Q15632617;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Danise%20in%20%22William%20Tell%22%20LCCN2014715543.jpg;male;Andere;Tellweg;Tell;;;;;Andere
58980;10008448;Nelken;Nelke;;Nelken;Nelken;;Nelkenweg;Nelke;;;;;;;;;;;;;;;;Lebewesen;Q156099;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Dianthus%20plumarius0.jpg;;Lebewesen;Nelkenweg;Nelken;;;;;Lebewesen
58991;10139765;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
59016;10006130;Büren;Büren;;Büren;Büren;LOC;Bürenstrasse;;Büren;;;;;;;;;;;;;;;Ortschaft;Q14548776;Q8436;9999;kein;;Person;Bürenstrasse;Büren;;;;;Person
59102;10011416;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
59150;10045143;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
59183;10097772;Mordagne;Mordagne;;Mordagne;Mordagne;;Avenue de Mordagne;;;;;;;;;;;;;;;;;Andere;Q29891795;Q839954;9999;kein;;Natur;Avenue de Mordagne;Mordagne;;;;;Natur
59209;10177651;Heim;Heim;;Heim;Heim;;Heimstrasse;;;;;;;;;http://www.wikidata.org/entity/Q56448691;Heim;männlich;;;;;;Person;Q117598;Q5;1845-10-07T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Marie%20Heim-V%C3%B6gtlin.jpg;female;Person;Heimstrasse;Heim;;;;;Person
59233;10015525;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
59248;10008007;Baltzer;Baltzer;;Baltzer;Baltzer;PER;Baltzerstrasse;;;;;;;;;;;;;;;;;Person;Q1465595;Q5;1884-03-12T00:00:00Z;kein;male;Person;Baltzerstrasse;Baltzer;;;;;Person
59250;10007788;Primel;Primel;;Primel;Primel;;Primelweg;Primel;;;;;;;;;;;;;;;;Lebewesen;Q158974;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Prole%C4%87no%20cve%C4%87e%203.JPG;;Lebewesen;Primelweg;Primel;;;;;Lebewesen
59252;10100826;Vignes;Vignes;;Vignes;Vignes;;Chemin des Vignes;Vignes;;;;;;;;;;;;;;;;Lebewesen;Q3248828;Q55983715;9999;kein;;Lebewesen;Chemin des Vignes;Vignes;;;;;Lebewesen
59281;10217367;Klawa;Klawa;;Klawa;Klawa;;Klawastrasse;;;;;;;;;;;;;;;;;Andere;Q23666560;Q5;1894-01-10T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Anny%20Morf.png;female;Person;Klawastrasse;Klawa;;;;;Person
59310;10008259;Bridel;Bridel;;Bridel;Bridel;;Bridelstrasse;;;;;;;;;;;;;;;;;Andere;Q22261106;Q5;1827-10-26T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Bridel%20Photo1880.JPG;male;Person;Bridelstrasse;Bridel;;;;;Person
59338;10009286;Alpen;Alpen;LOC;Alpen;Alpen;;Alpenstrasse;;;;;alpen;;;;;;;;;;;;Berg;Q1286;Q46831;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20Blanc%20oct%202004.JPG;;Berg;Alpenstrasse;Alpen;;;;;Berg
59346;10080874;Drossel;Drossel;;Drossel;Drossel;;Drosselweg;Drossel;;;;;;;;;;;;;;;;Lebewesen;Q26050;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Turdus%20viscivorus%20Brych%20y%20coed.jpg;;Lebewesen;Drosselweg;Drossel;;;;;Lebewesen
59353;10182878;Spelterini;Spelterini;;Spelterini;Spelterini;;Spelterinistrasse;;;;;;;;;;;;;;;;;Andere;Q325349;Q5;1852-06-02T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Eduard%20Schweizer%20Spelterini%20%282%29.jpg;male;Person;Spelterinistrasse;Spelterini;;;;;Person
59387;10187207;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
59395;10008036;Greyerz;Greyerz;;Greyerz;Greyerz;;Greyerzstrasse;;;;;;;;;;;;;;;;;Andere;Q20012495;Q8436;9999;kein;;Person;Greyerzstrasse;Greyerz;;;;;Person
59399;10066859;Flieder;Flieder;;Flieder;Flieder;;Fliederweg;Flieder;;;;;;;;;;;;;;;;Lebewesen;Q157449;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm-lilac.jpg;;Lebewesen;Fliederweg;Flieder;;;;;Lebewesen
59479;10008017;Fellenberg;Fellenberg;;Fellenberg;fellenberg;;Fellenbergstrasse;;;;;berg$;;;;;;;;;;;;Berg;Q116116;Q5;1771-06-27T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/PhilippEmanuel%20vonFellenberg.jpg;male;Person;Fellenbergstrasse;Fellenberg;;;;;Person
59481;10040425;Lully;Lully;;Lully;Lully;;Route de Lully;;Lully;;;;;;;;;;;;;;;Ortschaft;Q70493;Q70208;9999;http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89glise%20de%20Lully.JPG;;Ortschaft;Route de Lully;Lully;;;;;Ortschaft
59488;10013117;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
59490;10059265;Tulpen;tulpen;;Tulpen;tulpen;;Tulpenweg;Tulpe;;;;;;;;;;;;;;;;Lebewesen;Q93201;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Tulipa%20suaveolens%20floriade%20to%20Canberra.jpg;;Lebewesen;Tulpenweg;Tulpen;;;;;Lebewesen
59521;10189596;Dufour;Dufour;;Dufour;Dufour;;Dufourstrasse;;;;;;;;;;;;;;;;;Andere;Q123238;Q5;1787-09-15T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Guillaume%20Henri%20Dufour.jpg;male;Person;Dufourstrasse;Dufour;;;;;Person
59570;10040534;Antoine Michel Servan;Servan;PER;Antoine Michel Servan;Servan;PER;Avenue Antoine-Michel-Servan;;;;;;;;;;;;;;;;;Person;Q2684623;Q5;1737-11-03T00:00:00Z;kein;male;Person;Avenue Antoine-Michel-Servan;Antoine Michel Servan;;;;;Person
59594;10005756;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
59604;10015640;Gotthelf;Gotthelf;;Gotthelf;Gotthelf;;Gotthelfstrasse;;;;;;;;;;;;;;;;;Andere;Q122358;Q5;1797-10-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JeremiasGotthelf.jpg;male;Person;Gotthelfstrasse;Gotthelf;;;;;Person
59658;10084859;Sickinger;Sickinger;;Sickinger;Sickinger;;Sickingerstrasse;;;;;;;;;;;;;;;;;Andere;Q1479482;Q5;1558-01-01T00:00:00Z;kein;male;Person;Sickingerstrasse;Sickinger;;;;;Person
59698;10221305;Gugger;Gugger;;Gugger;Gugger;;Guggerweg;;;;;;;;;;;;;;;;;Andere;Q18411255;Q5;1701-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Abt%20Coelestin%20Gugger.jpg;male;Person;Guggerweg;Gugger;;;;;Person
59746;10103922;Midi;Midi;;Midi;Midi;;Rue du Midi;;;;;;;;;;;;;;;;;Andere;Q168182;Q25235;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Big%20Ben%20um%2012%20Uhr.jpg;;Andere;Rue du Midi;Midi;;;;;Andere
59754;10178667;Bodmer;Bodmer;;Bodmer;Bodmer;PER;Bodmerstrasse;;;;;;;;;;;;;;;;;Person;Q115588;Q5;1698-07-19T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Bodmer.jpg;male;Person;Bodmerstrasse;Bodmer;;;;;Person
59787;10046170;Weber;Weber;;Weber;Weber;;Weberstrasse;;;Weber;;;;;;http://www.wikidata.org/entity/Q1414734;Weber;männlich;1828-07-08T00:00:00Z;1879-06-25T00:00:00Z;http://www.wikidata.org/entity/Q628981;http://www.wikidata.org/entity/Q60;;Person;Q110788295;Q5;1853-01-01T00:00:00Z;kein;male;Person;Weberstrasse;Weber;;;;;Person
59793;10219323;Quitten;Quitt;;Quitten;Quitten;;Quittenweg;Quitte;;;;;;;;;;;;;;;;Lebewesen;Q2751465;Q1364;9999;http://commons.wikimedia.org/wiki/Special:FilePath/ARS%20Quinces.jpg;;Lebewesen;Quittenweg;Quitten;;;;;Lebewesen
59832;10219317;Mirabellen;Mirabellen;;Mirabellen;Mirabellen;;Mirabellenweg;;;;;;;;;;;;;;;;;Andere;Q149741;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Prunus%20insititia%2001.jpg;;Lebewesen;Mirabellenweg;Mirabellen;;;;;Lebewesen
59841;10220719;Mani Matter Stutz;Stutz;PER;Mani Matter Stutz;Stutz;MISC;Mani-Matter-Stutz;;;;;;;;matt;;;;;;;;;Natur;Q667551;Q5;1936-08-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/ManiMatter1970.jpg;male;Person;Mani-Matter-Stutz;Mani Matter Stutz;;;;;Person
59859;10013112;Rosen;Rose;;Rosen;Rosen;;Rosenweg;Rose;;;;;;;;;;;;;;;;Lebewesen;Q34687;Q16521;9999;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20pendulina.jpg;;Lebewesen;Rosenweg;Rosen;;;;;Lebewesen
59865;10220584;Tinguely;Tinguely;;Tinguely;Tinguely;;Tinguelyweg;;;;;;;;;;;;;;;;;Andere;Q163938;Q5;1925-05-22T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Jean%20Tinguely%2C%201961.jpg;male;Person;Tinguelyweg;Tinguely;;;;;Person
59872;10008333;Wyttenbach;wyttenbach;;Wyttenbach;Wyttenbach;;Wyttenbachstrasse;;;;bach$;;;;;;;;;;;;;Gewässer;Q2595876;Q13417114;9999;kein;;Person;Wyttenbachstrasse;Wyttenbach;;;;;Person
59927;10177896;Gotthelf;Gotthelf;;Gotthelf;Gotthelf;;Gotthelfstrasse;;;;;;;;;;;;;;;;;Andere;Q122358;Q5;1797-10-04T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/JeremiasGotthelf.jpg;male;Person;Gotthelfstrasse;Gotthelf;;;;;Person
