id;str_nr;str_name;str_st_bezeichnung;str_von;str_bis;str_kreis;str_planquadrat;str_vb;str_up_kanton;snb_str_nr_ref;snb_erlaeuterung;snb_tafeltext_1;snb_tafeltext_2;objectid
1461;1177;Kühweidweg;gültig;Hinterhagenweg;Butzenstrasse;2;L 17-M 18;WO;2607;1177;Flurname in Zürich-Wollishofen, der auf einen früheren Viehweg, der zu den Weiden führte, hinweist. Der Kühweidweg verläuft östlich der Kühgasse.;;;7420
970;1178;Küngenmatt;gültig;Höfliweg 23;Wasserschöpfi 75 (westl. Sackgasse);3;K 14;WD;2406;1178;Flurname (1520), der vermutlich auf einen früheren Grundstückseigentümer namens Küng oder König hinweist.;;;6925
569;1179;Künstlergasse;gültig;Hirschengraben 40;Karl-Schmid- /Leonhardstrasse;1;O 13;AA;2408;1179;Gasse, die zum ehemaligen, im Jahr 1911 wegen des Baus der Universität beseitigten «Künstlergütli» führte. Das Haus, ein Landgut des 18. Jahrhunderts, war von 1813 bis 1910 Sitz der Zürcher Kunstgesellschaft und damit des Kunstmuseums. Die Gasse selbst entstand im Zusammenhang mit dem Bau der Schanzen und Bastionen im 17. Jahrhundert und hiess bis um 1850 Halseisen, weil sich bei ihrem unteren Eingang im 15. Jahrhundert ein Pranger mit einer Fessel für den Hals (Halseisen) befand.;;;6518
1471;1180;Künzlistrasse;gültig;Birchstrasse 19;Oberwiesenstrasse 8;6;M 8-N 9;UN;2107;1180;Emil Künzli (1858-1898): Gerbermeister, Stifter der Partizipantengenossenschaft Zürich-Unterstrass, einer gemeinnützigen, 1929 in Konkurs gegangenen Baugenossenschaft.;;;7469
1257;1181;Kunzweg;gültig;Riedenhaldenstrasse;Fronwaldstrasse;11;K 7;AF;2006;1181;Erwin Kunz (1910-1978): Dr. phil., Präsident der Kreisschulpflege Schwamendingen 1963-1978, Förderer von Bildung, Sport und Freizeitgestaltung.;"Dr. Erwin Kunz (1910-1978)
Schulpräsident in Schwamendingen
ab 1963. Förderer von Bildung,
Sport und Freizeitgestaltung";;7217
2033;1182;Kürbergsteig;gültig;Ottenbergstrasse 69;Kürbergstrasse 24;10;K 10;HG;2206;1182;Der seit dem 14. Jahrhundert auftretende Flurname «Kürnberg» (1343), «Kürenberg» (1344), «Küriberg» (1521) geht vermutlich auf den Personennamen Küri zurück, der sich von Quirin ableitet. Im lateinischen Vornamen Quirinius steckt das Wort quiris, also Speer oder Lanze. Quirinius war der Name eines römischen Kriegsgottes.;;;7996
2039;1183;Kürbergstrasse;gültig;Ottenbergstrasse 71;Emil-Klöti- /Waidbadstrasse;10;K/L 10;HG;2206;1183;Der seit dem 14. Jahrhundert auftretende Flurname «Kürnberg» (1343), «Kürenberg» (1344), «Küriberg» (1521) geht vermutlich auf den Personennamen Küri zurück, der sich von Quirin ableitet. Im lateinischen Vornamen Quirinius steckt das Wort quiris, also Speer oder Lanze. Quirinius war der Name eines römischen Kriegsgottes.;;;8001
903;1184;Kürbergweg;gültig;Kürbergstrasse 50;Im Wingert 22;10;K 10;HG;2206;1184;Der seit dem 14. Jahrhundert auftretende Flurname «Kürnberg» (1343), «Kürenberg» (1344), «Küriberg» (1521) geht vermutlich auf den Personennamen Küri zurück, der sich von Quirin ableitet. Im lateinischen Vornamen Quirinius steckt das Wort quiris, also Speer oder Lanze. Quirinius war der Name eines römischen Kriegsgottes.;;;6858
176;1185;Kürbsensteig;gültig;Tannenrauchstrasse 46;Rainstrasse 86;2;M 17;WO;2607;1185;Abgeleitet vom Flurnamen «Kürbsenrain», d. h. einem früher mit «Chürbsen» (Kürbissen) bepflanzten Abhang.;;;6136
304;1186;Kurfirstensteig;gültig;Steinhaldenstrasse 73;Kurfirstenstrasse 14;2;M 15;EN;2507;1186;Bergkette der Appenzeller Alpen zwischen dem oberen Toggenburg und dem Walensee.;;;6269
633;1187;Kurfirstenstrasse;gültig;Scheideggstrasse 32;Scheideggstrasse 86;2;M 15/16;EN/WO;2507;1187;Bergkette der Appenzeller Alpen zwischen dem oberen Toggenburg und dem Walensee.;;;6592
912;1188;Kurhausstrasse;gültig;Ebelstrasse 40;Adlisbergstrasse;7;Q/R 13;HO;2408+2409;1188;Die Kurhausstrasse ist nach dem 1894-1896 erbauten Kur- und Waldhaus Dolder benannt, das 1972 abgebrochen und durch einen Neubau ersetzt wurde.;;;6864
1992;2367;Kurt-Früh-Weg;gültig;Leutschenbachstrasse 74;Grenze Opfikon;11;P 7;SE;2108;2367;Kurt Früh (1915-1979): Theater- und Filmregisseur zahlreicher Filme, wie etwa «Polizischt Wäckerli» (1955), «Bäckerei Zürrer» (1957) und «Dällebach Kari» (1970). Von 1964 bis 1967 war er Leiter des Ressorts Theater beim Schweizer Fernsehen.;"Kurt Früh (1915-1979)
Theater und Filmregisseur 
(Bäckerei Zürrer, Dällebach Kari)
1964 bis 1967 Leiter des Ressorts Theater
beim Schweizer Fernsehen";;7956
1000;2311;Kurt-Guggenheim-Anlage;gültig;Tal- /Bahnhofstrasse;Kurt-Guggenheim-Strasse;1;N 14;AA;2407;2311;Kurt Guggenheim (1896-1983): Zürcher Schriftsteller (Hauptwerk: «Alles in Allem») und Dramatiker sowie Literaturpreisträger der Stadt Zürich 1955.;;;6957
1579;2310;Kurt-Guggenheim-Strasse;gültig;Bahnhofstrasse;Talstrasse;1;N 14;AA;2407;2310;Kurt Guggenheim (1896-1983): Zürcher Schriftsteller (Hauptwerk: «Alles in Allem») und Dramatiker sowie Literaturpreisträger der Stadt Zürich 1955.;"Kurt Guggenheim (1896-1983)
Zürcher Schriftsteller, Hauptwerk «Alles in Allem» 
1955 Literaturpreisträger der Stadt Zürich";;7541
1593;2328;Kurt-Hirschfeld-Weg;gültig;Emil-Oprecht-Platz;Affolternstrasse;11;N 8;OE;2107;2328;Kurt Hirschfeld (1902-1964): Regisseur und Dramaturg am Schauspielhaus, ab 1961 Direktor desselben. Er emigrierte 1933 aus Deutschland nach Zürich.;"Kurt Hirschfeld (1902-1964)
Regisseur und Dramaturg am Schauspielhaus, ab 1961 Direktor
Emigrierte 1933 aus Deutschland nach Zürich";;7554
2456;1189;Kurvenstrasse;gültig;Beckenhof- /Waltersbachstrasse;Beckenhofstrasse 37;6;N 11/12;UN;2307;1189;Kurze bogen- oder kurvenförmige Strasse in Zürich-Unterstrass. Sie hiess bis 1892 Rankstrasse. Weil es Strassen dieses Namens auch in Hirslanden und Riesbach gab, wurde sie auf die 1893 erfolgte Eingemeindung in die Stadt Zürich hin in Kurvenstrasse umbenannt.;;;8418
166;1190;Kurzgasse;gültig;Hohlstrasse 18;Brauerstrasse 15;4;M 13;AU;2407;1190;Name des lediglich 49 Meter langen Verbindungssträsschens zwischen der Hohlstrasse und der Brauerstrasse in Aussersihl. Im Strassenverzeichnis von 1882 wird das Strässchen seiner Kürze wegen als Kurze Gasse bezeichnet.;;;6128
459;1191;Kuttelgasse;gültig;Rennweg 27;Bahnhofstrasse 50;1;N 13;AA;2407;1191;Spätestens ab 1541 unter diesem Namen erwähnte Gasse, die vom Rennweg hinab zur heutigen Bahnhofstrasse und damit zur ehemaligen Stadtmauer mit dem 1460 so geheissenen einstigen Kuttelturm führte. Warum der Turm und dadurch die Gasse so benannt wurden, ist unklar. Kutteln sind die Innereien von Schlachttieren. Kuttler war die Berufsbezeichnung für den Innereien verarbeitenden Metzger sowie ein Familienname, der im 15. Jahrhundert in Zürich vorkam.;;;6416
2379;1192;Kyburgstrasse;gültig;Landenbergstrasse 11;Röschibachstrasse 46;10;M 10/11;WP;2207;1192;"Benannt nach der Grafschaft Kyburg (auch Kiburg genannt) und deren Burganlage in der gleichnamigen Gemeinde. Die Herrschaftsrechte der 1263 ausgestorbenen Grafen von Kyburg gelangten von den Habsburgern an Zürich; 1424-1442 und 1452-1798 grösste Zürcher Landvogtei, 1815-1831 Oberamt. Die nahe Winterthur gelegene Gemeinde Kyburg im Bezirk Pfäffikon schloss sich auf Anfang 2016 mit Illnau-Effretikon zusammen.";;;8340
479;1193;Lachenacker;gültig;Riedhofstrasse 104;Regensdorferstrasse 72;10;J 9;HG;2106;1193;Flurname «Lachen», «Lachenzelg» in Zürich-Höngg, mit der Bedeutung Wasserlache, d. h. Acker in feuchtem, sumpfigem Gelände.;;;6433
1668;1194;Lachenzelgstrasse;gültig;Imbisbühlstrasse 39;Riedhofstrasse 76;10;J 9;HG;2106+2206;1194;Flurname «Lachen», «Lachenzelg» in Zürich-Höngg, mit der Bedeutung Wasserlache, d. h. Zelge in feuchtem, sumpfigem Gelände.;;;7629
1032;1195;Lägernstrasse;gültig;Rotbuchstrasse 68;Rötelstrasse 95;10;M 10;WP;2207;1195;Die Lägern ist ein Höhenzug in den Kantonen Zürich und Aargau zwischen Dielsdorf und Baden. Der höchstgelegene Punkt befindet sich bei der Ruine Alt-Lägern (866 m ü. M.).;;;6991
1573;1196;Lagerstrasse;gültig;Kasernenstrasse 95;Langstrasse 138;4;M 12-N 13;AU;2307+2407;1196;Strasse in Aussersihl, bei der nach 1860 Eisenbahnwerkstätten und der sogenannte Rohmaterialienbahnhof mit zahlreichen Lagerhäusern entstand.;;;7535
586;1197;Lamprechtweg;gültig;Birchstrasse;Brown-Boveri-Strasse;11;N 8;OE;2107;1197;Fritz Lamprecht (1875-1955): Pionier der Kautschukverarbeitung in der Schweiz, Gründer der Gummiwarenfabrik Lamprecht. Verlegte 1911 seine Produktionsstätte an die benachbarte Birchstrasse. Die Lamprecht AG hat heute ihren Firmensitz in Regensdorf.;"Fritz Lamprecht (1875-1955)
Pionier der Kautschukverarbeitung in der Schweiz";;6538
1156;1198;Landenbergstrasse;gültig;Habsburgstrasse 9;Röschibachplatz 72 /Dammstrasse;10;M 10/11;WP;2207;1198;Die von Landenberg waren ein ursprünglich aus dem Zürcher Tösstal stammendes Adelsgeschlecht, dessen umfangreicher Besitz sich ab dem ausgehenden 13. Jahrhundert über die ganze Ostschweiz verteilte. Die Herkunft der in Süddeutschland bis in die Gegenwart bestehenden Familie ist unklar. Einzelne Familienmitglieder besassen das Zürcher Bürgerrecht.;;;7116
2073;1199;Landhusweg;gültig;Seebacherstrasse 4;Katzenbachstrasse 9;11;O 7;SE;2008;1199;Benannt nach dem nahe gelegenen, 1933 erbauten Gasthaus zum Landhus, Schaffhauserstrasse 499, in Zürich-Seebach.;;;8039
1698;1200;Landisstrasse;gültig;Jungholzstrasse 6;nordwestl. Sackgasse;11;O 8;OE;2107+2108;1200;Albert Heinrich Landis (1877-1916): Kofferfabrikant und Stifter des Albert-Heinrich-Landis-Fonds, welcher der Fürsorge durch die Amtsvormundschaft gewidmet war.;;;7656
2216;1201;Landoltstrasse;gültig;Vogelsangstrasse 10;Bionstrasse 11;6;O 12;OB;2308;1201;Vermutlich nach Elias Landolt (1821-1896) benannt: 1853-1864 Forstmeister und 1864-1882 Kantonsoberförster des Kantons Zürich. 1855-1893 Professor an der Forstschule des Eidgenössischen Polytechnikums in Zürich, 1867-1871 Direktor des Polytechnikums. Elias Landolt war der Grossvater des späteren Stadtpräsidenten Emil Landolt (1895-1995).;"Elias Landolt (1821-1896)
Professor für Forstwissenschaft an der ETH";;8189
1326;1202;Langackerstrasse;gültig;Guggachstrasse 12;Grebelackerstrasse 7;6;N 10;UN;2207;1202;Flurname «Langacher», d. h. langgezogener Acker.;;;7283
3;1203;Langensteinenstrasse;gültig;Winterthurerstrasse 164;Letzistrasse 37;6;O 10/11;OB/UN;2208;1203;Flurname «Langensteinen», vermutlich nach Findlingen so benannt.;;;5970
315;1204;Langfachweg;gültig;Bombachhalde 24;Grenze Oberengstringen;10;G/H 9;HG;2205;1204;«Fach» ist ein anderer Ausdruck für Beet, nämlich der markierte Teil eines Grundstücks von Kulturland, eines Weinberges oder Gemüsegartens.;;;6265
1044;1205;Langfurren;gültig;Oerlikonerstrasse 9;Schürbungert 45;6;N/O 9;UN;2207;1205;Flurname «Langfurren», vermutlich ein Hinweis auf einen langgezogenen Einschnitt (Furche) im Boden und entsprechender Erhöhung auf beiden Seiten.;;;7002
90;1206;Langgrütstrasse;gültig;Fellenbergstrasse 169;In der Ey 17;9;H-K 13;AR/WD;2406;1206;Flurname «Im langen Gerüt» (1405), d. h. langgezogenes, gerodetes Landstück («Grüt»).;;;6053
1736;1207;Langgrütweg;gültig;Fellenbergstrasse 273;Triemlistrasse 58;9;H/J 13;AR;2406;1207;Flurname «Im langen Gerüt» (1405), d. h. langgezogenes, gerodetes Landstück («Grüt»).;;;7693
150;1208;Langhagweg;gültig;Letzigraben 145;Sackzelg 34;9;J 13;AR;2406;1208;Vermutlich in Verbindung mit der nahe gelegenen Langgrütstrasse bezeichnet der Langhagweg ein früher durch eine Grünhecke («Lebhag») begrenztes Grundstück.;;;6112
130;1209;Langmattweg;gültig;Witikonerstrasse 317;südwestl. Sackgasse;7;S 15;WI;2509;1209;Flurname «Langmatt», d. h. lange Wiese. Dort befindet sich die 1933, kurz vor der Eingemeindung Witikons nach Zürich, erbaute Primarschule Langmatt.;;;6091
1995;1210;Langmauerstrasse;gültig;Röslistrasse 10;Winterthurerstrasse 138;6;N/O 11;UN;2207+2208+2307;1210;"Benannt nach der Ortsgegend in Unterstrass und dem dortigen Landgut Langenmauer, das 1812 aus Wohnhaus, Scheune und Trotte bestand; das Wohnhaus wurde 1958 abgetragen. Ursprünglich hiess die Strasse der Schwabenweg, weil bis um 1750 die spätere Langmauerstrasse ein Teil der unteren Strasse und damit des Hauptverkehrswegs nach Süddeutschland war, der von den Getreidehändlern aus Schwaben befahren wurde. Welche Bewandtnis es mit der langen Mauer hatte, die die Strasse vielleicht einst säumte, ob es eine alte Letzimauer oder vielleicht eine Weidegrenze war, ist unbekannt.";;;7958
2003;1211;Langstrasse;gültig;Badenerstrasse 120;Limmatplatz;4+5;M 12/13;AU/IQ;2307+2407;1211;Alte Verbindung, die von Wiedikon her durch das Sihlfeld hin zur Limmat führt und die um 1900 zu einer Hauptstrasse von Aussersihl wurde. Die Strasse führte über die Ortsgegend Langfurren, weshalb sie bis 1869 auch Langfurrenstrasse hiess. Langstrasse meint somit nicht nur die Länge der Strasse, sondern ist ursprünglich auch eine verkürzte Form der Langfurrenstrasse. Eine «Furre» ist eine Acker- oder Feldfurche, entstanden zum Beispiel durch das Pflügen oder angelegt für den Wasserabzug.;;;7966
1417;1212;Langweid;gültig;Frauentalweg;Hegianwandweg;3;K/L 16;WD;2506;1212;Flurname, d. h. grosse Weide, in der Senke oberhalb des Friesenberghofs gelegen, Friesenbergstrasse 374 bis 380.;;;7378
572;1213;Langwiesstrasse;gültig;Birchstrasse 145;Angelikaweg;11;N 8;OE;2107;1213;Flurname, d. h. langgezogene Wiese.;;;6521
636;1214;Lärchenweg;gültig;Rosshauweg;Mannshäuliweg;9;F 12-G 13;AL;2305+2405;1214;Baumname.;;;6585
2497;1215;Laternengasse;gültig;Limmatquai 26;Kirchgasse 8;1;O 14;AA;2408;1215;Die ab 1256 erwähnte Gasse musste gemäss den Statutenbüchern des Grossmünsters von 1346 mit Fackeln und Pechlichtern beleuchtet werden, um die Anlieferung von Wein während der Nacht von der Schifflände in die Trotte des Grossmünsters zu ermöglichen. Ab 1561 ist ferner der dortige Hausname zur Laterne, Laternengasse 2, belegt. Der Name Laternengasse erscheint auf dem Stadtplan von Johannes Müller 1794.;;;8463
2400;2478;Laubfroschweg;gültig;Gfellstrasse;Eisvogelweg;2;M 16;WO;2507+2607;2478;Weg durch die Allmend Brunau. Namenskonzept: Tiere, die in der Region vorkommen oder vorkamen.;;;8358
2109;1216;Laubiweg;gültig;Rötelstrasse 56;Hofwiesenstrasse 47;6;N 10;UN;2207;1216;Eine seit dem 17. Jahrhundert in Wipkingen nachgewiesene Familie. Der Laubiweg lag zurzeit der Benennung auf ehemaligem Wipkinger Gebiet (heute Zürich-Unterstrass).;;;8072
925;1217;Läufebachweg;gültig;Triemlistrasse 90;Rossackerstrasse 119;9;H/J 14;AR;2406;1217;Benannt nach dem nördlich der Triemlistrasse in den Döltschibach mündenden Läufebach. Eine «Läufi» bezeichnet eine Lichtung oder eine für den Transport von Holzstämmen und Stauden eingerichtete Holzbahn im Wald.;;;6880
2462;1218;Läufeweg;gültig;Triemlihalde 30;Birmensdorferstrasse 660;9;H/J 14;AR;2405+2406;1218;Flurname «Grossläufi», «Kleinläufi». Eine «Läufi» bezeichnet eine Lichtung oder eine für den Transport von Holzstämmen und Stauden eingerichtete Holzbahn im Wald.;;;8422
2459;1219;Laufferweg;gültig;Langmauerstrasse 93;Im eisernen Zeit 60;6;N 10-O 11;UN;2207;1219;Hans Jakob Lauffer (1822-1895), Besitzer des benachbarten, 1958 abgetragenen Grossen Gutes an der Langmauer.;;;8421
1455;2498;Laura-Hezner-Weg;gültig;Hönggerbergring;Gustave-Naville-Weg;10;K 8/9;HG;2106;2498;Laura Hezner (1862-1916): Mineralogin. Sie habilitiert 1910 als erste Frau an der ETH Zürich.;;;7414
580;1220;Laurenzgasse;gültig;Nordstrasse 18;Stampfenbachstrasse 129;6;N 12;UN;2307;1220;Männlicher Vorname.;;;6532
862;1221;Lavaterstrasse;gültig;General-Wille-Strasse 21;Conrad-Ferdinand-Meyer-Strasse 14;2;N 14/15;EN;2507;1221;Johann Kaspar Lavater (1741-1801): Pfarrer zu Sankt Peter in Zürich. Johann Kaspar Lavater war ein berühmter Kanzelredner und Schriftsteller (u. a «Physiognomische Fragmente») mit europaweiter Ausstrahlung. Er starb an einer Verletzung, die ihm 1799 bei der Besetzung Zürichs durch die Franzosen zugefügt worden war.;;;6816
1341;1222;Lavendelweg;gültig;Kirchenackerweg 11;Salvatorstrasse 26;11;O 8;OE;2108;1222;Strauchname.;;;7304
371;1224;Lebristweg;gültig;Müseliweg;Am Hönggerberg;10;K 9;HG;2206;1224;Schon 1644 erwähnter Flurname, der auf den Fuss (Rist) einer Anhöhe oder eines kleinen Hügels («Lew») hinweist.;;;6329
2274;1225;Leebernweg;gültig;Winterthurerstrasse 297;Friedheimstrasse 50;11;P 9;OE;2208;1225;Flurname, möglicherweise abgeleitet von «Lewere» für einen länglichen Hügel.;;;8232
1570;1226;Lehensteig;gültig;Rosengartenstrasse 9;Zschokkestrasse 15;10;M 10;WP;2207;1226;Verbindung zur Lehenstrasse, benannt nach dem 1927 abgetragenen Haus zum Lehen, Lehenstrasse 29. Ein Lehen war bis in das 19. Jahrhundert hinein ein verpachtetes oder entlehntes Gut, das oft auch dem Staat gehörte.;;;7532
2251;1227;Lehenstrasse;gültig;Rosengartenstrasse 40;Nordstrasse 320;10;L/M 10;WP;2207;1227;Strasse in der alten Ortsgegend Lehen in Zürich-Wipkingen, benannt nach dem 1927 abgetragenen Haus zum Lehen, Lehenstrasse 29. Ein Lehen war bis in das 19. Jahrhundert hinein ein verpachtetes oder entlehntes Gut, das oft auch dem Staat gehörte.;;;8203
2029;1228;Lehfrauenweg;gültig;Witikonerstrasse 353;Buchholzstrasse 120;7;S 15;WI;2509;1228;Strasse in Witikon, benannt nach dem bereits im 16. Jahrhundert nachgewiesenen Flurnamen «Lehfrauenacker». Ein Lehen war bis in das 19. Jahrhundert hinein ein von einem Lehensmann gelehntes oder von einem Lehensherrn entlehntes Gut. Der Lehfrauenacker war somit ein Acker, der von einer Frau gepachtet oder von einer Frau (im Mittelalter z. B. von der Fraumünsteräbtissin) als der Lehensherrin verpachtet worden war.;;;7992
2180;1229;Lehmgrubenweg;gültig;Hungerbergstrasse;Holderbachweg;10;J 8;HG;2106;1229;Benannt nach einer dort gelegener Lehmgrube im Hönggerbergwald.;;;8141
1465;1230;Leimbachsteg;gültig;SZU Station Leimbach;Leimbachweg;2;L 19;WO;2707;1230;Die 946 erstmals urkundlich erwähnte Siedlung Leimbach war Teil der ehemals selbständigen Gemeinde Enge und wurde 1893 zusammen mit dieser in die Stadt Zürich eingemeindet (Kreis 2 zusammen mit Wollishofen). Der Weiler Oberleimbach kam hingegen zur Gemeinde Adliswil.;;;7424
1574;1231;Leimbachstrasse;gültig;Maneggbrücke;Grenze Adliswil;2;L 18-20;LE;2706+2707+2807;1231;Die 946 erstmals urkundlich erwähnte Siedlung Leimbach war Teil der ehemals selbständigen Gemeinde Enge und wurde 1893 zusammen mit dieser in die Stadt Zürich eingemeindet (Kreis 2 zusammen mit Wollishofen). Der Weiler Oberleimbach kam hingegen zur Gemeinde Adliswil.;;;7536
1508;1232;Leimbachweg;gültig;Leimbachsteg;Gstalderweg;2;L/M 19;WO;2707;1232;Die 946 erstmals urkundlich erwähnte Siedlung Leimbach war Teil der ehemals selbständigen Gemeinde Enge und wurde 1893 zusammen mit dieser in die Stadt Zürich eingemeindet (Kreis 2 zusammen mit Wollishofen). Der Weiler Oberleimbach kam hingegen zur Gemeinde Adliswil.;;;7462
91;1233;Leimgasse;gültig;Wildbachstrasse 42;südwestl. Sackgasse;8;P 15;RI;2508;1233;Kurze Sackgasse in Riesbach bei der dortigen von 1851 bis 1874 betriebenen Leimfabrik mit Knochenmühle. Die Fabrik verfügte ab 1855 über eine Dampfmaschine von drei Pferdekräften, wonach sie fortan täglich 1400 Kilo Knochenmehl liefern konnte, wie es in der Chronik der Kirchgemeinde Neumünster heisst.;;;6054
2433;1234;Leimgrübelstrasse;gültig;Glatttalstrasse 109;Rümlangstrasse 43;11;N/O 6;SE;2007+2008;1234;Flurname nach der Berufsbezeichnung «Leimgrübel», d. h. Lehmgraber, vielleicht auch Grundstück eines solchen. Dort befand sich eine in den 1890er Jahren eingegangene Ziegelei.;;;8393
1001;1235;Lenggfussweg;gültig;Lengghalde;Witellikerstrasse 20;8;Q/R 16;RI;2509;1235;Strassenname, der in Riesbach an den alten und bereits um 1500 bezeugten Flur- und Ortsnamen «Länggwies» oder «Längg» erinnert. Im Flurnamen versteckt sich das Wort lang, das hier wohl ursprünglich eine langgezogene Wiese bezeichnete.;;;6958
1449;1236;Lengghalde;gültig;Lenggstrasse;südöstl. Sackgasse;8;Q 16;RI;2509;1236;Strassenname, der in Riesbach an den alten und bereits um 1500 bezeugten Flur- und Ortsnamen «Länggwies» oder «Längg» erinnert. Im Flurnamen versteckt sich das Wort lang, das hier wohl ursprünglich eine langgezogene Wiese bezeichnete.;;;7409
1868;1237;Lenggstrasse;gültig;Südstrasse 85;Forchstrasse 326;8;Q/R 16;RI/HI;2508+2509;1237;Strassenname, der in Riesbach an den alten und bereits um 1500 bezeugten Flur- und Ortsnamen «Länggwies» oder «Längg» erinnert. Im Flurnamen versteckt sich das Wort lang, das hier wohl ursprünglich eine langgezogene Wiese bezeichnete.;;;7821
521;1238;Leonhard-Ragaz-Weg;gültig;Gutstrasse 7;Goldbrunnenstrasse 160;3;K 13/14;WD;2406;1238;Leonhard Ragaz (1868-1945): Theologe und Mitbegründer der religiös-sozialen Bewegung. Ragaz war Pfarrer am Heinzenberg 1890-1895, in Chur 1895-1902 und am Basler Münster 1902-1908. 1906 war er an der Gründung der Zeitschrift «Neue Wege» beteiligt, die er von 1921 bis zu seinem Tod als Hauptredaktor betreute. Er hatte damit grossen Einfluss auf die Entstehung der religiös-sozialen Bewegung. Mit seiner Reich-Gottes-Theologie, die stets verbunden war mit politischem Engagement, nahm er die Ansätze der Befreiungstheologie vorweg. Ab 1908 wirkte er als Professor für systematische und praktische Theologie an der Universität Zürich. Er näherte sich 1912 der Arbeiterbewegung an, indem er den Zürcher Generalstreik unterstützte und der Sozialistischen Internationalen das Basler Münster für die Internationale Friedenskonferenz im November 1912 vermittelte. 1921 trat er von seiner Professur zurück und widmete sich der Bildungsarbeit im Zürcher Arbeiterquartier Aussersihl und in der religiös-sozialen Bewegung. Als Präsident der Schweizerischen Zentralstelle für Friedensarbeit war er in der Zwischenkriegszeit einer der Exponenten der Friedensbewegung in der Schweiz. Als die Sozialdemokratische Partei 1935 die militärische Landesverteidigung befürwortete, trat Ragaz aus der Partei aus (Beitritt 1913).;;;6477
673;1239;Leonhardshalde;gültig;Auf der Mauer 7;südl. Sackgasse;1;O 13;AA;2308+2408;1239;Benannt nach der 1240 erstmals erwähnten, unmittelbar vor der Stadt (Hohe Farb, später Hochfarbstrasse 10, nordwestlich des heutigen Central) gelegenen St. Leonhardskapelle. Im Alten Zürichkrieg 1443 von den Zürchern abgebrochen, wurde die Kapelle 1448 wieder errichtet und eingeweiht. Im Laufe der 1890er Jahre erfolgte der endgültige Abbruch.;;;6628
1732;2528;Leonhardsteig;gültig;Leonhardstrasse 13;Clausiusstrasse 31;6;O 12;OB;2308;2528;Benannt nach der 1240 erstmals erwähnten, unmittelbar vor der Stadt (Hohe Farb, später Hochfarbstrasse 10, nordwestlich des heutigen Central) gelegenen St. Leonhardskapelle. Im Alten Zürichkrieg 1443 von den Zürchern abgebrochen, wurde die Kapelle 1448 wieder errichtet und eingeweiht. Im Laufe der 1890er Jahre erfolgte der endgültige Abbruch.;;;7689
1391;1240;Leonhardstrasse;gültig;Weinbergstrasse 34;Karl-Schmid-Strasse /Künstlergasse;1+6;O 12/13;AA/UN;2308+2408;1240;Benannt nach der 1240 erstmals erwähnten, unmittelbar vor der Stadt (Hohe Farb, später Hochfarbstrasse 10, nordwestlich des heutigen Central) gelegenen St. Leonhardskapelle. Im Alten Zürichkrieg 1443 von den Zürchern abgebrochen, wurde die Kapelle 1448 wieder errichtet und eingeweiht. Im Laufe der 1890er Jahre erfolgte der endgültige Abbruch.;;;7351
429;1241;Leonhardstreppe;gültig;Stampfenbachstrasse 26;Hochfarbstrasse 2;1;O 12;AA;2308;1241;Benannt nach der 1240 erstmals erwähnten, unmittelbar vor der Stadt (Hohe Farb, später Hochfarbstrasse 10, nordwestlich des heutigen Central) gelegenen St. Leonhardskapelle. Im Alten Zürichkrieg 1443 von den Zürchern abgebrochen, wurde die Kapelle 1448 wieder errichtet und eingeweiht. Im Laufe der 1890er Jahre erfolgte der endgültige Abbruch.;;;6389
1802;2445;Leopold-Ruzicka-Weg;gültig;Wolfgang-Pauli-Strasse;Hönggerbergring;10;K 9;HG;2106;2445;Leopold Ruzicka (1887-1976): Chemiker. Der ETH-Professor erhielt 1939 den Nobelpreis für Chemie.;;;7786
1327;1242;Lerchenberg;gültig;Lerchenhalde 2;nordwestl. Sackgasse;11;K 8;AF;2106;1242;Flurname «Lerchenberg», vermutlich auf Lerchengesang an diesem Ort anspielend.;;;7284
284;1243;Lerchenhalde;gültig;Glaubtenstrasse;Schauenbergstrasse 53;11;K 7/8;AF;2106;1243;Abgeleitet vom Flurnamen «Lerchenberg», vermutlich auf Lerchengesang an diesem Ort anspielend.;;;6238
616;1244;Lerchenrain;gültig;Lerchenhalde 41;Schauenbergstrasse;11;K 8;AF;2106;1244;Abgeleitet vom Flurnamen «Lerchenberg», vermutlich auf Lerchengesang an diesem Ort anspielend. Rain bezeichnet einen Abhang oder oft auch eine Grenze zwischen Äckern oder Fluren.;;;6571
2447;1245;Lerchenstrasse;gültig;Edenstrasse 9;Giesshübelstrasse 12;3;M 15;WD;2507;1245;Tiername, Vogelart.;;;8409
14;2297;Lerchenweg;gültig;Schwandenholzstrasse;Schiffliwiesenweg;11;M/N 6;SE;2007;2297;Tiername, Vogelart.;;;5981
